State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle GVWR Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",18,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",13,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","3/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",19,21,"DMV Snapshot (3/31/2024)",False
"TN","Shelby County","3/1/2023","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",22,17,"DMV Snapshot (3/31/2023)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",13,23,"DMV Snapshot (9/30/2024)",True
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2021","BEV","1","Light-Duty (Class 1-2A)",19,16,"DMV Snapshot (12/31/2022)",False
"TN","Davidson County","12/1/2022","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",7,16,"DMV Snapshot (12/31/2022)",False
"TN","Davidson County","3/1/2022","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",7,13,"DMV Snpashot (3/31/2022)",False
"TN","Davidson County","3/1/2020","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",5,5,"DMV Snpashot (3/31/2020)",False
"TN","Davidson County","12/1/2021","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",5,12,"DMV Snpashot (12/31/2021)",False
"TN","Davidson County","6/1/2023","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",6,18,"DMV Snapshot (6/30/2023)",False
"TN","Davidson County","12/1/2020","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",5,8,"DMV Snpashot (12/31/2020)",False
"TN","Davidson County","3/1/2023","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",6,17,"DMV Snapshot (3/31/2023)",False
"TN","Davidson County","9/1/2022","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",7,15,"DMV Snapshot (9/30/2022)",False
"TN","Davidson County","6/1/2022","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",5,14,"DMV Snpashot (6/30/2022)",False
"TN","Davidson County","3/1/2021","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",5,9,"DMV Snpashot (3/31/2021)",False
"TN","Davidson County","9/1/2021","TESLA","MODEL S","2014","BEV","1","Light-Duty (Class 1-2A)",7,11,"DMV Snpashot (9/30/2021)",False
"TN","Davidson County","12/1/2023","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,20,"DMV Snapshot (12/31/2023)",False
"TN","Davidson County","3/1/2020","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,5,"DMV Snpashot (3/31/2020)",False
"TN","Davidson County","3/1/2021","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,9,"DMV Snpashot (3/31/2021)",False
"TN","Davidson County","6/1/2024","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,22,"DMV Snapshot (6/30/2024)",False
"TN","Davidson County","12/1/2020","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,8,"DMV Snpashot (12/31/2020)",False
"TN","Davidson County","3/1/2024","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,21,"DMV Snapshot (3/31/2024)",False
"TN","Davidson County","9/1/2019","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,3,"DMV Snpashot (9/30/2019)",False
"TN","Davidson County","3/1/2019","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,1,"DMV Snpashot (3/31/2019)",False
"TN","Davidson County","9/1/2023","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,19,"DMV Snapshot (9/30/2023)",False
"TN","Davidson County","9/1/2024","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",5,23,"DMV Snapshot (9/30/2024)",True
"TN","Davidson County","6/1/2021","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",8,10,"DMV Snpashot (6/30/2021)",False
"TN","Davidson County","6/1/2022","TESLA","MODEL S","2015","BEV","1","Light-Duty (Class 1-2A)",11,14,"DMV Snpashot (6/30/2022)",False
